id,Nome do Filme,Ano de Lancamento,Decada do Filme,Duracao,Lancamento,Classificao do Filme,Publico Alvo,Diretor,Estrela,Genero,Tematica,Pais de Origem,Produtora,Idioma,Indicado a Premiações de Cinema,Nota
tt0109321,Troublemakers,1994,1990,1h 47m,Cinema,+10,Família,Outros,Terence Hill,Comédia de Amigos,Comédia,Itália,Rialto Film,Italian,0,6.0
tt0110490,Men of War,1994,1990,1h 42m,Cinema,+16,Jovens,Outros,Dolph Lundgren,Ação,Drama,Estados Unidos,MDP Worldwide,Inglês,0,5.6
tt0109196,Backstreet Justice,1994,1990,1h 31m,Cinema,+16,Jovens,Outros,Linda Kozlowski,Crime,Drama,Estados Unidos,Prism Entertainment Corporation,Inglês,0,4.5
tt0104558,Supercop,1992,1990,1h 31m,Cinema,+16,Jovens,Stanley Tong,Jackie Chan,Gun Fu,Artes Marciais,Hong Kong,Golden Harvest Company,Cantonês,4,7.0
tt0107225,"Ciao, Professore!",1992,1990,1h 40m,Cinema,+16,Jovens,Outros,Outros,Comédia,Indefinido,Itália,Penta Distribuzione,Neapolitan,0,6.9
tt0104879,Miracle Beach,1992,1990,1h 28m,Cinema,+16,Jovens,Outros,Ami Dolenz,Comédia,Romance,Estados Unidos,Motion Picture Corporation of America MPCA,Inglês,0,5.5
tt0104550,Jersey Girl,1992,1990,1h 35m,Cinema,+12,Família,Outros,Jami Gertz,Comédia,Drama,Estados Unidos,Outros,Inglês,0,6.1
tt0097775,The Master,1992,1990,1h 28m,Cinema,+16,Jovens,Tsui Hark,Jet Li,Kung Fu,Artes Marciais,Hong Kong,Film Workshop,Cantonês,0,5.7
tt0105530,Talons of the Eagle,1992,1990,1h 36m,Cinema,+16,Jovens,Outros,Outros,Ação,Aventura,Canadá,Outros,Inglês,0,5.0
tt0108592,Once Upon a Time in China III,1992,1990,2h 5m,Cinema,+16,Jovens,Tsui Hark,Jet Li,Kung Fu,Artes Marciais,Hong Kong,Golden Harvest Company,Cantonês,0,6.7
tt0101368,Severed Ties,1992,1990,1h 32m,Cinema,+16,Jovens,Outros,Oliver Reed,Comédia,Terror,Estados Unidos,Outros,Inglês,0,4.5
tt0096463,Working Girl,1988,1980,1h 53m,Cinema,+16,Jovens,Mike Nichols,Melanie Griffith,Comédia Romântica,Drama no Local de Trabalho,Estados Unidos,Twentieth Century Fox,Inglês,18,6.8
tt0094746,Biloxi Blues,1988,1980,1h 46m,Cinema,+12,Família,Mike Nichols,Matthew Broderick,Comédia,Drama,Estados Unidos,Rastar Pictures,Inglês,0,6.7
tt0094739,Big Business,1988,1980,1h 37m,Cinema,+10,Família,Jim Abrahams,Bette Midler,Comédia,Indefinido,Estados Unidos,Touchstone Pictures,Inglês,0,6.4
tt0096071,The Serpent and the Rainbow,1988,1980,1h 38m,Cinema,+16,Jovens,Wes Craven,Bill Pullman,Fantasia,Terror,Estados Unidos,Universal Pictures,Inglês,0,6.4
tt0094921,Crossing Delancey,1988,1980,1h 37m,Cinema,+10,Família,Outros,Amy Irving,Comédia,Romance,Estados Unidos,Warner Bros,Inglês,0,6.9
tt0095690,Mystic Pizza,1988,1980,1h 44m,Cinema,+16,Jovens,Donald Petrie,Annabeth Gish,Comédia Adolescente,Drama Adolescente,Estados Unidos,The Samuel Goldwyn Company,Inglês,4,6.3
tt0092675,Bloodsport,1988,1980,1h 32m,Cinema,+16,Jovens,Outros,JeanClaude Van Damme,B-Action,Ação,Estados Unidos,Cannon International,Inglês,0,6.8
tt0095178,Fresh Horses,1988,1980,1h 45m,Cinema,+12,Família,David Anspaugh,Molly Ringwald,Drama,Romance,Estados Unidos,Weintraub Entertainment Group,Inglês,0,5.0
tt0098180,Red Scorpion,1988,1980,1h 45m,Cinema,+16,Jovens,Joseph Zito,Dolph Lundgren,Comédia Sombria,Ação,Estados Unidos,Outros,Inglês,0,5.2
tt0098087,The Little Thief,1988,1980,1h 49m,Cinema,+16,Jovens,Outros,Charlotte Gainsbourg,Comédia,Drama,França,Orly Films,Francês,3,6.8
tt0094979,The Deceivers,1988,1980,1h 42m,Cinema,+12,Família,Nicholas Meyer,Pierce Brosnan,Aventura,Crime,Reino Unido,Merchant Ivory Productions,Inglês,0,5.9
tt0095275,Hanna's War,1988,1980,2h 28m,Cinema,+12,Família,Menahem Golan,Ellen Burstyn,Biografia,Drama,Estados Unidos,GolanGlobus Productions,Inglês,0,6.1
tt0103947,Cheap Shots,1988,1980,1h 32m,Cinema,+12,Família,Outros,Outros,Comédia,Indefinido,Estados Unidos,Outros,Inglês,0,7.3
tt0259308,Felix the Cat: The Movie,1988,1980,1h 22m,Cinema,Livre,Família,Outros,Outros,Aventura,Animação,Estados Unidos,Outros,Inglês,0,4.6
tt0251997,Side Roads,1988,1980,2h 24m,Cinema,+16,Jovens,Outros,Outros,Thriller,Indefinido,Estados Unidos,Outros,Inglês,0,4.0
tt0094816,Burning Secret,1988,1980,1h 46m,Cinema,+10,Família,Outros,Faye Dunaway,Drama,Indefinido,Reino Unido,Bayerischer Rundfunk BR,Inglês,2,6.5
tt0109809,FleshEater,1988,1980,1h 28m,Cinema,+16,Jovens,Outros,Outros,B-Horror,Outros,Estados Unidos,Outros,Inglês,0,4.9
tt0084749,The Sword and the Sorcerer,1982,1980,1h 39m,Cinema,+16,Jovens,Albert Pyun,Outros,Fantasia Sombria,Fantasia Sobrenatural,Estados Unidos,Outros,Inglês,5,5.5
tt0084698,Smithereens,1982,1980,1h 33m,Cinema,+16,Jovens,Susan Seidelman,Outros,Amadurecimento,Drama Adolescente,Estados Unidos,Outros,Inglês,0,6.7
tt0096467,Centipede Horror,1982,1980,1h 33m,Cinema,+16,Jovens,Outros,Outros,Terror,Indefinido,Hong Kong,Outros,Cantonês,0,5.4
tt2140571,The Broken Hearts Gallery,2020,2020,1h 49m,Cinema,+12,Família,Outros,Outros,Comédia,Romance,Estados Unidos,Outros,Inglês,2,6.3
tt7395114,The Devil All the Time,2020,2020,2h 18m,Cinema,+16,Jovens,Outros,Bill Skarsgrd,Thriller Psicológico,Crime,Estados Unidos,Outros,Inglês,0,7.1
tt10308928,Force of Nature,2020,2020,1h 31m,Cinema,+16,Jovens,Michael Polish,Emile Hirsch,Ação,Aventura,Estados Unidos,Lionsgate,Inglês,0,4.6
tt5096470,Love Wedding Repeat,2020,2020,1h 40m,Televisao,+18,Adultos,Outros,Sam Claflin,Comédia,Romance,Reino Unido,Tempo Productions,Inglês,0,5.6
tt1552211,The Last Days of American Crime,2020,2020,2h 28m,Televisao,+18,Adultos,Outros,Edgar Ramrez,Ação,Crime,Estados Unidos,Mandalay Pictures,Inglês,0,3.8
tt9305634,Surge,2020,2020,1h 45m,Televisao,+18,Adultos,Outros,Ben Whishaw,Thriller,Indefinido,Reino Unido,BBC Film,Inglês,6,6.1
tt1712170,Alex Cross,2012,2010,1h 41m,Cinema,+12,Família,Rob Cohen,Tyler Perry,Ação,Crime,Estados Unidos,EmmettFurla Oasis Films,Inglês,0,5.2
tt1656190,Safe,2012,2010,1h 34m,Cinema,+16,Jovens,Boaz Yakin,Jason Statham,Ação de Exército de Um Só,Ação,Estados Unidos,IM Global,Inglês,0,6.5
tt1840417,The Words,2012,2010,1h 42m,Cinema,+12,Família,Outros,Bradley Cooper,Drama,Mistério,Estados Unidos,Benaroya Pictures,Inglês,3,7.0
